,Location,Blind,Hunters (Daily),Ducks (Daily),Geese (Daily),Ducks per Hunter (Daily),Hunters (Season),Ducks (Season),Geese (Season),Ducks per Hunter (Season)
2,Johnson Unit,1.0,3.0,20.0,0.0,6.7,69.0,253.0,0.0,3.7
3,Johnson Unit,2.0,2.0,1.0,1.0,0.5,75.0,319.0,3.0,4.3
4,Johnson Unit,3.0,4.0,8.0,10.0,2.0,65.0,257.0,11.0,4.0
5,Johnson Unit,4.0,1.0,1.0,0.0,1.0,2.0,8.0,0.0,4.0
6,Johnson Unit,5.0,4.0,28.0,1.0,7.0,9.0,43.0,1.0,4.8
7,Johnson Unit,6.0,0.0,0.0,0.0,,17.0,47.0,0.0,2.8
8,Johnson Unit,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,
10,Racetrack Unit,11,1.0,0.0,0.0,0.0,78.0,310.0,2.0,4.0
11,Racetrack Unit,12,4.0,17.0,0.0,4.3,65.0,220.0,0.0,3.4
12,Racetrack Unit,13,2.0,1.0,0.0,0.5,74.0,179.0,0.0,2.4
13,Racetrack Unit,14,2.0,3.0,0.0,1.5,81.0,225.0,0.0,2.8
14,Racetrack Unit,15,2.0,0.0,0.0,0.0,79.0,195.0,1.0,2.5
16,Hunt Unit,4,4.0,0.0,0.0,0.0,8.0,3.0,0.0,0.4
17,Hunt Unit,5,2.0,4.0,0.0,2.0,74.0,201.0,0.0,2.7
18,Hunt Unit,6,4.0,4.0,0.0,1.0,80.0,262.0,2.0,3.3
19,Hunt Unit,7,2.0,14.0,0.0,7.0,67.0,211.0,0.0,3.1
20,Hunt Unit,8,6.0,1.0,0.0,0.2,63.0,86.0,1.0,1.4
21,Hunt Unit,9,2.0,6.0,0.0,3.0,43.0,121.0,1.0,2.8
22,Hunt Unit,11,1.0,1.0,0.0,1.0,60.0,88.0,1.0,1.5
23,Hunt Unit,13,2.0,1.0,1.0,0.5,49.0,44.0,1.0,0.9
24,Hunt Unit,ADA,1.0,0.0,0.0,0.0,30.0,24.0,0.0,0.8
26,Mudhen Unit,3,2.0,4.0,0.0,2.0,27.0,47.0,0.0,1.7
27,Mudhen Unit,4,1.0,2.0,0.0,2.0,35.0,38.0,0.0,1.1
28,Mudhen Unit,5,0.0,0.0,0.0,,32.0,32.0,0.0,1.0
29,Mudhen Unit,6,0.0,0.0,0.0,,20.0,14.0,0.0,0.7
30,Mudhen Unit,7,0.0,0.0,0.0,,24.0,19.0,0.0,0.8
31,Mudhen Unit,8,0.0,0.0,0.0,,61.0,109.0,0.0,1.8
32,Mudhen Unit,9,0.0,0.0,0.0,,35.0,52.0,0.0,1.5
33,Mudhen Unit,11,1.0,6.0,0.0,6.0,53.0,109.0,0.0,2.1
34,Mudhen Unit,12,3.0,2.0,0.0,0.7,64.0,155.0,0.0,2.4
35,Mudhen Unit,13,3.0,2.0,0.0,0.7,56.0,68.0,0.0,1.2
36,Mudhen Unit,14,3.0,4.0,0.0,1.3,43.0,41.0,0.0,1.0
37,Mudhen Unit,15,0.0,0.0,0.0,,30.0,37.0,0.0,1.2
38,Mudhen Unit,16,1.0,3.0,0.0,3.0,43.0,62.0,0.0,1.4
39,Mudhen Unit,ADA,0.0,0.0,0.0,,22.0,13.0,0.0,0.6
41,Oak Island Unit,1,0.0,0.0,0.0,,5.0,2.0,3.0,0.4
42,Oak Island Unit,2,0.0,0.0,0.0,,5.0,4.0,2.0,0.8
43,Oak Island Unit,3,0.0,0.0,0.0,,8.0,4.0,3.0,0.5
44,Oak Island Unit,4,0.0,0.0,0.0,,11.0,1.0,3.0,0.1
45,Oak Island Unit,5,0.0,0.0,0.0,,9.0,1.0,0.0,0.1
46,Oak Island Unit,6,0.0,0.0,0.0,,6.0,2.0,0.0,0.3
